ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,LoanAmount_log,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_ID
5849,0.0,128.0,360.0,1.0,1,4.852030263919617,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001002
4583,1508.0,128.0,360.0,1.0,0,4.852030263919617,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,LP001003
3000,0.0,66.0,360.0,1.0,1,4.189654742026425,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,LP001005
2583,2358.0,120.0,360.0,1.0,1,4.787491742782046,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,LP001006
6000,0.0,141.0,360.0,1.0,1,4.948759890378168,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001008
5417,4196.0,267.0,360.0,1.0,1,5.58724865840025,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,LP001011
2333,1516.0,95.0,360.0,1.0,1,4.553876891600541,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,LP001013
3036,2504.0,158.0,360.0,0.0,0,5.062595033026967,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,LP001014
4006,1526.0,168.0,360.0,1.0,1,5.123963979403259,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001018
12841,10968.0,349.0,360.0,1.0,0,5.855071922202427,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001020
3200,700.0,70.0,360.0,1.0,1,4.248495242049359,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001024
2500,1840.0,109.0,360.0,1.0,1,4.6913478822291435,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001027
3073,8106.0,200.0,360.0,1.0,1,5.298317366548036,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001028
