Credit_History,Loan_Status,LoanAmount_log,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_ID,Total_Income,Total_Income_log,EMI,Balance_Income
1.0,1,4.852030263919617,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001002,5849.0,8.674025985443025,0.35555555555555557,5493.444444444444
1.0,0,4.852030263919617,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,LP001003,6091.0,8.714567550836485,0.35555555555555557,5735.444444444444
1.0,1,4.189654742026425,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,LP001005,3000.0,8.006367567650246,0.18333333333333332,2816.6666666666665
1.0,1,4.787491742782046,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,LP001006,4941.0,8.50532301884575,0.3333333333333333,4607.666666666667
1.0,1,4.948759890378168,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001008,6000.0,8.699514748210191,0.39166666666666666,5608.333333333333
1.0,1,5.58724865840025,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,LP001011,9613.0,9.170871628065816,0.7416666666666667,8871.333333333334
1.0,1,4.553876891600541,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,LP001013,3849.0,8.255568653283746,0.2638888888888889,3585.1111111111113
0.0,0,5.062595033026967,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,LP001014,5540.0,8.61974977974133,0.4388888888888889,5101.111111111111
1.0,1,5.123963979403259,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001018,5532.0,8.61830469278465,0.4666666666666667,5065.333333333333
1.0,0,5.855071922202427,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001020,23809.0,10.077818939438902,0.9694444444444444,22839.555555555555
1.0,1,4.248495242049359,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001024,3900.0,8.268731832117737,0.19444444444444445,3705.5555555555557
1.0,1,4.691347882229144,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001027,4340.0,8.375629627094451,0.30277777777777776,4037.222222222222
1.0,1,5.298317366548036,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001028,11179.0,9.321792297270326,0.5555555555555556,10623.444444444445
1.0,0,4.736198448394496,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001029,4693.0,8.453827315794417,0.31666666666666665,4376.333333333333
1.0,1,2.833213344056216,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001030,2385.0,7.776954403322442,0.14166666666666666,2243.3333333333335
1.0,1,4.8283137373023015,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001032,4950.0,8.507142855562735,0.3472222222222222,4602.777777777777
1.0,1,4.605170185988092,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,LP001034,3596.0,8.18757739559151,0.4166666666666667,3179.3333333333335
0.0,0,4.330733340286331,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001036,3510.0,8.163371316459912,0.2111111111111111,3298.8888888888887
1.0,0,4.890349128221754,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,LP001038,4887.0,8.494333897270154,0.36944444444444446,4517.555555555556
1.0,1,4.74493212836325,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001041,6100.0,8.716044050161402,0.3194444444444444,5780.555555555556
0.0,0,4.6443908991413725,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,LP001043,7660.0,8.943767262734637,0.28888888888888886,7371.111111111111
1.0,1,5.752572638825633,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001046,11580.0,9.357034751126987,0.875,10705.0
0.0,0,4.7535901911063645,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,LP001047,4511.0,8.414274137408396,0.32222222222222224,4188.777777777777
0.0,0,4.718498871295094,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,LP001050,5282.0,8.572060092857077,0.3111111111111111,4970.888888888889
1.0,0,5.017279836814924,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001052,6642.0,8.801168401936692,0.41944444444444445,6222.555555555556
1.0,1,5.25227342804663,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,LP001066,9560.0,9.165343006045447,0.5305555555555556,9029.444444444445
1.0,1,4.804021044733257,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001068,5052.0,8.527539483470381,0.3388888888888889,4713.111111111111
1.0,1,4.700480365792417,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,LP001073,5266.0,8.569026340056254,0.3055555555555556,4960.444444444444
1.0,0,3.555348061489413,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,LP001086,1442.0,7.273786317844895,0.09722222222222222,1344.7777777777778
